[2025-03-03T21:26:01.197+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-05 170.8300 172.0973 170.3700 171.4100 12518282
[2025-03-03T21:26:01.744+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-04 171.2400 171.9200 169.4850 170.6800 16193994
[2025-03-03T21:26:02.367+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-01 171.5400 173.8200 170.3100 172.6500 21752859
[2025-03-03T21:26:03.079+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-10-31 174.7200 178.4200 172.5600 172.6900 32801898
[2025-03-03T21:26:03.842+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-10-30 182.4100 183.7900 175.7451 176.1400 49698313
[2025-03-03T21:26:04.399+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-10-29 169.3850 171.8600 168.6600 171.1400 28916106
[2025-03-03T21:26:04.913+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-10-28 170.5900 170.6060 165.7900 168.3400 20858254
[2025-03-03T21:26:05.425+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-10-25 165.3650 167.4000 165.2300 166.9900 14566410
[2025-03-03T21:26:05.936+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-10-24 164.5900 165.0500 162.7700 164.5300 12764430
[2025-03-03T21:26:06.558+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-10-23 166.4300 167.6000 163.6325 164.4800 12754283
[2025-03-03T21:26:07.207+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-10-22 164.7000 167.4700 164.6700 166.8200 11958617
[2025-03-03T21:26:07.885+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-10-21 164.5800 166.2200 164.3050 165.8000 11384047
[2025-03-03T21:26:17.995+0000] {cursor.py:1156} INFO - Number of results in first chunk: 1
[2025-03-03T21:26:17.997+0000] {python.py:240} INFO - Done. Returned value was: None
[2025-03-03T21:26:18.031+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2025-03-03T21:26:18.033+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=train_predict, task_id=etl_full_refresh, run_id=manual__2025-03-03T21:25:06.225228+00:00, execution_date=20250303T212506, start_date=20250303T212510, end_date=20250303T212618
[2025-03-03T21:26:18.102+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2025-03-03T21:26:18.135+0000] {taskinstance.py:3900} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2025-03-03T21:26:18.139+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
